location_name,weather_code,single_pre_2000,single_2001_2015,single_post_2016,semi_pre_2000,semi_2001_2015,semi_post_2016,row_mid_pre_2000,row_mid_2001_2015,row_mid_post_2016,row_end_pre_2000,row_end_2001_2015,row_end_post_2016
OLD CROW,400,110,0,0,30,15,10,15,9,0,10,6,0
INUKJUAK,306,45,0,5,35,65,0,0,0,0,0,0,0
ARCTIC BAY,204,120,10,0,15,10,0,0,24,9,0,16,6
BURWASH,391,25,10,0,0,5,0,0,0,0,0,0,0
CAMBRIDGE BAY,209,215,30,0,25,20,0,45,72,0,30,48,0
RANKIN INLET,231,65,10,0,0,20,0,6,3,3,4,2,2
FORT SMITH,180,0,240,65,0,25,0,0,15,0,0,10,0
FORT SIMPSON,179,265,35,0,30,25,0,15,12,0,10,8,0
EUREKA,218,40,0,5,5,10,0,0,3,0,0,2,0
HALL BEACH,220,95,0,5,10,15,0,0,42,0,0,28,0
IQALUIT,222,60,0,0,25,75,50,0,0,0,0,0,0
IQALUIT,222,60,0,0,10,10,0,9,6,6,6,4,4
KUGAARUK CLIMATE,224,85,0,0,10,15,0,6,24,30,4,16,20
BONILLA-ISLAND,47,20,15,5,0,0,0,0,0,0,0,0,0
WATSON LAKE,402,0,50,0,0,0,0,0,0,0,0,0,0
MARY'S HARBOUR,156,5,0,0,0,0,0,0,0,0,0,0,0
CHAMOUCHOUANE,295,275,60,0,0,40,35,0,0,0,0,0,0
LANSDOWNE HOUSE,253,0,55,0,0,0,0,0,0,0,0,0,0
OLD CROW,400,105,0,5,0,0,0,0,0,0,0,0,0
POND INLET,229,135,40,0,35,15,5,27,39,12,18,26,8
INUKJUAK,306,95,75,0,80,165,40,0,0,0,0,0,0
RANKIN INLET,231,330,45,0,60,0,0,51,84,0,34,56,0
RESOLUTE BAY,233,45,5,0,5,5,0,0,3,0,0,2,0
MARY'S HARBOUR,156,70,0,0,0,5,0,0,0,0,0,0,0
KUUJJUAQ,308,15,15,0,25,25,20,0,0,0,0,0,0
LITTLE CHICAGO,188,40,0,0,0,10,5,0,0,0,0,0,0
NORMAN WELLS,193,75,15,0,15,15,0,3,0,0,2,0,0
WATSON LAKE,402,300,0,85,20,5,0,3,0,0,2,0,0
RANKIN INLET,231,55,5,0,15,15,0,6,6,3,4,4,2
LAC LA MARTRE,186,0,115,0,0,10,5,0,0,0,0,0,0